Gaia G mag,CCD AL scan uncertainty (mas)
4.7089,0.2938
4.8101,0.3086
4.8987,0.3276
5.0127,0.3241
5.0506,0.3036
5.0886,0.2844
5.1013,0.2650
5.2152,0.2592
5.2658,0.2429
5.3038,0.2275
5.3418,0.2131
5.3671,0.1996
5.4051,0.1870
5.5190,0.1771
5.6203,0.1705
5.6709,0.1606
5.7342,0.1529
5.8354,0.1537
5.8608,0.1440
5.9114,0.1356
6.0253,0.1394
6.1772,0.1409
6.2911,0.1386
6.4177,0.1401
6.5443,0.1448
6.6582,0.1496
6.8101,0.1521
6.9367,0.1588
7.0759,0.1614
7.2278,0.1659
7.3544,0.1723
7.4937,0.1771
7.6076,0.1850
7.7342,0.1922
7.8608,0.2007
7.9873,0.2085
8.1139,0.2178
8.2658,0.2238
8.3165,0.2154
8.3291,0.2007
8.3418,0.1880
8.3544,0.1761
8.3671,0.1641
8.3797,0.1537
8.3924,0.1432
8.4051,0.1342
8.4557,0.1257
8.5316,0.1210
8.6835,0.1216
8.8228,0.1257
8.9747,0.1257
9.0759,0.1203
9.2025,0.1152
9.3418,0.1158
9.4684,0.1197
9.6203,0.1216
9.7722,0.1237
9.8481,0.1210
9.9241,0.1165
10.0000,0.1223
10.1519,0.1243
10.2658,0.1285
10.3418,0.1223
10.4051,0.1152
10.5316,0.1152
10.5949,0.1223
10.6835,0.1292
10.8101,0.1299
10.8861,0.1386
10.9747,0.1379
11.0759,0.1356
11.1646,0.1313
11.2658,0.1292
11.3924,0.1292
11.4684,0.1342
11.5443,0.1320
11.5949,0.1243
11.6709,0.1292
11.7468,0.1257
11.8101,0.1177
11.9114,0.1146
11.9367,0.1223
11.9620,0.1306
12.0000,0.1401
12.0506,0.1327
12.0633,0.1237
12.0886,0.1165
12.1139,0.1085
12.2532,0.1079
12.3671,0.1133
12.4304,0.1171
12.5063,0.1133
12.6456,0.1171
12.7722,0.1216
12.8481,0.1278
12.9241,0.1264
12.9873,0.1190
13.1266,0.1190
13.2532,0.1216
13.3924,0.1257
13.5316,0.1306
13.6582,0.1349
13.7848,0.1409
13.9241,0.1472
14.0253,0.1529
14.1519,0.1597
14.2658,0.1677
14.3924,0.1752
14.4937,0.1830
14.6203,0.1911
14.7342,0.2007
14.8481,0.2108
14.9747,0.2202
15.0633,0.2312
15.1646,0.2429
15.2785,0.2550
15.3797,0.2679
15.5063,0.2813
15.5949,0.2970
15.7089,0.3103
15.8101,0.3258
15.9241,0.3422
16.0506,0.3594
16.1392,0.3774
16.2532,0.3964
16.3418,0.4186
16.4557,0.4396
16.5443,0.4642
16.6709,0.4875
16.7468,0.5119
16.8481,0.5406
16.9494,0.5708
17.0506,0.6028
17.1392,0.6400
17.2405,0.6721
17.3291,0.7058
17.4177,0.7453
17.5063,0.7827
17.6076,0.8310
17.7215,0.8775
17.7848,0.9266
17.8734,0.9785
17.9620,1.0276
18.0633,1.0910
18.1519,1.1520
18.2152,1.2231
18.3291,1.2915
18.4177,1.3638
18.4937,1.4401
18.5949,1.5290
18.6962,1.6233
18.7468,1.7141
18.8354,1.8100
18.9114,1.9217
18.9873,2.0292
19.0886,2.1544
19.1646,2.2750
19.2405,2.4153
19.3291,2.5505
19.4051,2.7078
19.4810,2.8749
19.5696,3.0358
19.6456,3.2231
19.7215,3.4220
19.8101,3.6332
19.8734,3.8364
19.9747,4.0731
20.0380,4.3245
20.1266,4.5416
20.2025,4.8746
20.2911,5.1194
20.3544,5.4353
20.4430,5.7394
20.5063,6.0935
20.6076,6.4696
20.6835,6.8688
20.7722,7.2530
20.8608,7.7006
