g, c, u0
 4.00,1.00,11.994559
 4.00,1.01,11.929291
 4.00,1.02,11.864010
 4.00,1.03,11.798687
 4.00,1.04,11.733242
 4.00,1.05,11.667550
 4.00,1.06,11.601380
 4.00,1.07,11.534433
 4.00,1.08,11.466260
 4.00,1.09,11.396324
 4.00,1.10,11.323913
 4.00,1.11,11.248229
 4.00,1.12,11.168318
 4.00,1.13,11.083178
 4.00,1.14,10.991759
 4.00,1.15,10.893052
 4.00,1.16,10.786252
 4.00,1.17,10.670766
 4.00,1.18,10.546770
 4.00,1.19,10.415194
 4.00,1.20,10.277588
 4.00,1.21,10.136090
 4.00,1.22, 9.993455
 4.00,1.23, 9.853099
 4.00,1.24, 9.719094
 4.00,1.25, 9.595901
 4.00,1.26, 9.488109
 4.00,1.27, 9.400176
 4.00,1.28, 9.336006
 4.00,1.29, 9.298371
 4.00,1.30, 9.288036
 4.00,1.31, 9.303325
 4.00,1.32, 9.341775
 4.00,1.33, 9.400407
 4.00,1.34, 9.475639
 4.00,1.35, 9.563712
 4.00,1.36, 9.661182
 4.00,1.37, 9.764654
 4.00,1.38, 9.870708
 4.00,1.39, 9.976836
 4.00,1.40,10.081194
 4.00,1.41,10.182215
 4.00,1.42,10.278442
 4.00,1.43,10.368813
 4.00,1.44,10.453226
 4.00,1.45,10.532204
 4.00,1.46,10.606442
 4.00,1.47,10.676786
 4.00,1.48,10.744127
 4.00,1.49,10.809387
 4.00,1.50,10.873463
 4.00,1.51,10.937108
 4.00,1.52,11.000949
 4.00,1.53,11.065249
 4.00,1.54,11.130321
 4.00,1.55,11.197046
 4.00,1.56,11.266495
 4.00,1.57,11.339902
 4.00,1.58,11.418429
 4.00,1.59,11.503033
 4.00,1.60,11.594381
 4.00,1.61,11.692597
 4.00,1.62,11.797135
 4.00,1.63,11.906991
 4.00,1.64,12.021097
 4.00,1.65,12.138558
 4.00,1.66,12.259111
 4.00,1.67,12.383561
 4.00,1.68,12.513320
 4.00,1.69,12.649745
 4.00,1.70,12.793616
 4.00,1.71,12.945776
 4.00,1.72,13.107664
 4.00,1.73,13.280815
 4.00,1.74,13.466579
 4.00,1.75,13.665990
 4.00,1.76,13.879034
 4.00,1.77,14.105145
 4.00,1.78,14.342609
 4.00,1.79,14.588963
 4.00,1.80,14.839897
 4.00,1.81,15.090656
 4.00,1.82,15.336561
 4.00,1.83,15.573480
 4.00,1.84,15.799408
 4.00,1.85,16.013214
 4.00,1.86,16.215130
 4.00,1.87,16.405866
 4.00,1.88,16.586679
 4.00,1.89,16.758974
 4.00,1.90,16.924197
 4.00,1.91,17.083762
 4.00,1.92,17.238913
 4.00,1.93,17.390784
 4.00,1.94,17.540267
 4.00,1.95,17.688130
 4.00,1.96,17.834907
 4.00,1.97,17.981035
 4.00,1.98,18.126777
 4.00,1.99,18.272328
 4.00,2.00,18.417797
 4.02,1.00,11.990746
 4.02,1.01,11.924999
 4.02,1.02,11.859243
 4.02,1.03,11.793451
 4.02,1.04,11.727546
 4.02,1.05,11.661405
 4.02,1.06,11.594799
 4.02,1.07,11.527427
 4.02,1.08,11.458839
 4.02,1.09,11.388495
 4.02,1.10,11.315673
 4.02,1.11,11.239567
 4.02,1.12,11.159211
 4.02,1.13,11.073585
 4.02,1.14,10.981622
 4.02,1.15,10.882294
 4.02,1.16,10.774775
 4.02,1.17,10.658458
 4.02,1.18,10.533512
 4.02,1.19,10.400874
 4.02,1.20,10.262103
 4.02,1.21,10.119337
 4.02,1.22, 9.975302
 4.02,1.23, 9.833356
 4.02,1.24, 9.697491
 4.02,1.25, 9.572079
 4.02,1.26, 9.461630
 4.02,1.27, 9.370530
 4.02,1.28, 9.302634
 4.02,1.29, 9.260703
 4.02,1.30, 9.245542
 4.02,1.31, 9.255575
 4.02,1.32, 9.288462
 4.02,1.33, 9.341360
 4.02,1.34, 9.410815
 4.02,1.35, 9.493160
 4.02,1.36, 9.585091
 4.02,1.37, 9.683411
 4.02,1.38, 9.784856
 4.02,1.39, 9.886989
 4.02,1.40, 9.988026
 4.02,1.41,10.086475
 4.02,1.42,10.180893
 4.02,1.43,10.270222
 4.02,1.44,10.354329
 4.02,1.45,10.433600
 4.02,1.46,10.508589
 4.02,1.47,10.579969
 4.02,1.48,10.648451
 4.02,1.49,10.714824
 4.02,1.50,10.779874
 4.02,1.51,10.844280
 4.02,1.52,10.908612
 4.02,1.53,10.973078
 4.02,1.54,11.037942
 4.02,1.55,11.104034
 4.02,1.56,11.172380
 4.02,1.57,11.244209
 4.02,1.58,11.320697
 4.02,1.59,11.402808
 4.02,1.60,11.491194
 4.02,1.61,11.586028
 4.02,1.62,11.686910
 4.02,1.63,11.793055
 4.02,1.64,11.903610
 4.02,1.65,12.017921
 4.02,1.66,12.135964
 4.02,1.67,12.258772
 4.02,1.68,12.387940
 4.02,1.69,12.524918
 4.02,1.70,12.670557
 4.02,1.71,12.825645
 4.02,1.72,12.991455
 4.02,1.73,13.169322
 4.02,1.74,13.360352
 4.02,1.75,13.565339
 4.02,1.76,13.784075
 4.02,1.77,14.015806
 4.02,1.78,14.258623
 4.02,1.79,14.509888
 4.02,1.80,14.765201
 4.02,1.81,15.019777
 4.02,1.82,15.269041
 4.02,1.83,15.509006
 4.02,1.84,15.737835
 4.02,1.85,15.954547
 4.02,1.86,16.159441
 4.02,1.87,16.353266
 4.02,1.88,16.537292
 4.02,1.89,16.712928
 4.02,1.90,16.881619
 4.02,1.91,17.044771
 4.02,1.92,17.203614
 4.02,1.93,17.359270
 4.02,1.94,17.512616
 4.02,1.95,17.664404
 4.02,1.96,17.815157
 4.02,1.97,17.965299
 4.02,1.98,18.115080
 4.02,1.99,18.264688
 4.02,2.00,18.414222
 4.04,1.00,11.986934
 4.04,1.01,11.920706
 4.04,1.02,11.854470
 4.04,1.03,11.788207
 4.04,1.04,11.721838
 4.04,1.05,11.655244
 4.04,1.06,11.588196
 4.04,1.07,11.520395
 4.04,1.08,11.451386
 4.04,1.09,11.380627
 4.04,1.10,11.307387
 4.04,1.11,11.230853
 4.04,1.12,11.150044
 4.04,1.13,11.063927
 4.04,1.14,10.971415
 4.04,1.15,10.871463
 4.04,1.16,10.763227
 4.04,1.17,10.646085
 4.04,1.18,10.520202
 4.04,1.19,10.386524
 4.04,1.20,10.246622
 4.04,1.21,10.102633
 4.04,1.22, 9.957255
 4.04,1.23, 9.813787
 4.04,1.24, 9.676136
 4.04,1.25, 9.548582
 4.04,1.26, 9.435548
 4.04,1.27, 9.341346
 4.04,1.28, 9.269783
 4.04,1.29, 9.223603
 4.04,1.30, 9.203653
 4.04,1.31, 9.208458
 4.04,1.32, 9.235804
 4.04,1.33, 9.282982
 4.04,1.34, 9.346670
